symbol,tf,window,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
ETHUSDT,1w,10,0.061911303451140286,1.3347329127610568,-0.00739642662945583,-0.3559413967118255,0.033661082428444934,1.3293896400291074
ETHUSDT,1w,12,0.05266102222793962,1.1322511578615964,0.0003852193925744309,0.019738130584763026,0.029781555592222238,1.1297273490563713
ETHUSDT,1w,14,0.04322398341072301,0.9269092347505841,0.004093146155943857,0.20722471615277893,0.03367740855253488,1.2862183622820915
ETHUSDT,1w,16,0.04045152267602819,0.8654631651074242,0.007615752364492252,0.3834184860370277,0.039811171394186176,1.5241977794303445
ETHUSDT,1w,18,0.033800675616209364,0.721405267208557,0.010668246872979553,0.5438315807086104,0.04111207913216907,1.578375202828341
ETHUSDT,1w,21,0.011173545070910649,0.23756765709721442,0.02125738717446386,1.012889520775389,0.027654883747901794,1.1357627063400104
ETHUSDT,1w,25,0.010454240926292642,0.22128666576326586,0.022121345018663606,1.1243526189332762,0.035205708846412415,1.5895982028706312
ETHUSDT,1w,30,0.004280448130904119,0.0900938363982241,0.025603504522646998,1.336136789634714,0.033737909622732765,1.4922863181377373
ETHUSDT,1d,2,-0.029977188555741625,-1.7275248910467011,0.006095186706598308,1.9547842354403104,0.005883867195543233,2.392032873111146
ETHUSDT,1d,3,-0.021541356073141133,-1.2409279358768337,0.00417766064101864,1.2759054212839749,0.006334100799300547,2.5635701539708795
ETHUSDT,1d,4,-0.014843907646114264,-0.8548764560193353,0.0027462587736771706,0.8087493255216472,0.0067144449389884165,2.7172129860877
ETHUSDT,1d,5,-0.008115146934077978,-0.4672533834373551,0.0025866944489098434,0.7569102058944577,0.006797789468115882,2.722787552379671
ETHUSDT,1d,6,-0.002960810116542068,-0.1704467448686899,0.0013997618786273677,0.3767314510423842,0.007432950163837956,2.8385214046127007
ETHUSDT,1d,7,0.001185323259085678,0.06822567317359769,0.0026528417233849947,0.7267063474565691,0.007115742571550775,2.624652192927781
ETHUSDT,1d,8,0.004479029549549847,0.2577706389632815,0.0017939436418121643,0.4908084202320646,0.007232945425493041,2.6351183654898573
ETHUSDT,1d,9,0.007190654437384907,0.4137702260821179,0.002868474198760158,0.8531837753401001,0.006585668852469131,2.399505187103038
ETHUSDT,1d,10,0.009447606666327771,0.5435696294505618,0.0017263692885726197,0.5181384698337724,0.00536023470760493,1.9343888531809137
ETHUSDT,1d,12,0.01307135768247434,0.7518661872124439,0.003742093178700322,1.144485517873098,0.005585997645861228,2.0169421356407544
ETHUSDT,1d,14,0.015649099917376803,0.8998994217028511,0.0030228784987700445,0.9301542181582348,0.004647246707255326,1.6555125504511898
ETHUSDT,1d,16,0.018551471414105132,1.0665301237130411,0.001089499092318018,0.35348143786444003,0.004922658472849092,1.7401779118248917
ETHUSDT,1d,18,0.021476446884826823,1.2343864515353458,0.00023260634808032666,0.07585280806854068,0.00451935324598007,1.5347598299530287
ETHUSDT,1d,21,0.02402034607116818,1.380052928716762,0.0011749992819539402,0.3836253352811033,0.005870513805408762,1.9913928434295372
ETHUSDT,1d,25,0.02629390852511703,1.5098473397223122,0.0012034628227349865,0.3940787002383197,0.003526282628190678,1.1805942000639493
ETHUSDT,1d,30,0.028212436833782634,1.6188680579448378,0.0008536754471328918,0.27343054284949947,0.004811771508870449,1.6184044859708562
ETHUSDT,4h,2,-0.0352675020649932,-4.979941108878353,-0.0004480300242027955,-0.894089081282598,0.00075489634555161,1.9326077878289023
ETHUSDT,4h,3,-0.030782473017304884,-4.3458798178997835,-0.0006692881477948991,-1.2255367236351284,0.0008430205800344479,2.1345820343972735
ETHUSDT,4h,4,-0.026666611381647012,-3.764261135405407,-0.0005145573601793375,-0.9150191822669518,0.0009217313963285976,2.2451291391120374
ETHUSDT,4h,5,-0.02295635576588791,-3.240141288356804,-0.00037394954096453434,-0.6310391915352044,0.0008744340535362988,2.142949604307065
ETHUSDT,4h,6,-0.01953025041679354,-2.756298725481746,-0.0004909238609870272,-0.8247397236630231,0.0011370402086406661,2.703387992014566
ETHUSDT,4h,7,-0.01658622690675477,-2.3406262525263712,-0.0005493824258271355,-0.9118268489660439,0.0012087459273428238,2.861775570179401
ETHUSDT,4h,8,-0.014130902387828246,-1.9940088305540904,-0.0005110926913074235,-0.8451773106492146,0.0012452846351508184,2.9468923708991186
