symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
ETHUSDT,1w,7,hi_bull,37,7,0.0308442046136168,0.9856316014016807,1.0957466552346211
ETHUSDT,1w,7,hi_bear,10,3,0.11781810753214161,1.7953476288910684,3.1589380885626506
ETHUSDT,1w,8,lo,47,11,-0.030247394148367593,-2.0071805688618385,-2.3892508708682687
ETHUSDT,1w,8,hi,47,9,0.0416863380903042,1.5060738092698154,1.5992015647125852
ETHUSDT,1w,8,hi_bull,38,6,0.020560431406832436,0.6911668338571115,0.5572339983837243
ETHUSDT,1w,8,hi_bear,9,3,0.1308846107538516,1.9523308847350842,7.240056764769777
ETHUSDT,1w,9,lo,46,9,-0.029531302663411516,-2.0606966068305543,-1.8992643280293773
ETHUSDT,1w,9,hi,46,8,0.04583434953308365,1.6312035086574819,1.6187023581070568
ETHUSDT,1w,9,hi_bull,40,6,0.0248704031761924,0.8757017261777291,0.6757823553012136
ETHUSDT,1w,9,hi_bear,6,2,0.18559399191235873,2.0695826201902325,3.5715878322033183
ETHUSDT,1w,10,lo,46,8,-0.01834482923500605,-1.3224062960082414,-1.0851927498434648
ETHUSDT,1w,10,hi,46,7,0.04847233773653733,1.7500823327434505,2.1862849146570316
ETHUSDT,1w,10,hi_bull,41,5,0.028875604141214845,1.0593435612819302,1.020202460069554
ETHUSDT,1w,10,hi_bear,5,2,0.20916555321818162,1.9738289425826154,2.3495153610634567
ETHUSDT,1w,12,lo,46,6,-0.01072565101636546,-0.8317233203123295,-0.6261237236722764
ETHUSDT,1w,12,hi,46,5,0.03993826714982449,1.5999230608549186,1.8602028466892684
ETHUSDT,1w,12,hi_bull,42,4,0.02707174510777821,1.0548550578610218,1.0972234946826134
ETHUSDT,1w,12,hi_bear,4,0,,,
ETHUSDT,1w,14,lo,45,6,0.006340182081700858,0.48597749560632436,0.38711286329173966
ETHUSDT,1w,14,hi,45,3,0.04805861951837002,2.002686579285783,3.3720257838178056
ETHUSDT,1w,14,hi_bull,41,3,0.03495969511076329,1.4247731285842369,1.7394930458022126
ETHUSDT,1w,14,hi_bear,4,0,,,
ETHUSDT,1w,16,lo,45,6,0.007595400966327769,0.5537746320798689,0.43239563800893954
ETHUSDT,1w,16,hi,45,2,0.04653975743409955,2.019823065303138,2.584107029694571
ETHUSDT,1w,16,hi_bull,43,3,0.04115304371172392,1.7290398660453499,2.69439103052639
ETHUSDT,1w,16,hi_bear,2,0,,,
ETHUSDT,1w,18,lo,45,6,0.020291732052432985,1.686420697021944,1.4722936290981754
ETHUSDT,1w,18,hi,45,2,0.0475944932558118,2.007684664688921,5.474005756419647
ETHUSDT,1w,18,hi_bull,44,3,0.04487860336959444,1.8628378010503828,4.050136019664051
ETHUSDT,1w,18,hi_bear,1,0,,,
ETHUSDT,1w,21,lo,44,5,0.01917632501713967,1.6551236462860601,1.4505017426547107
ETHUSDT,1w,21,hi,44,2,0.03798660580057285,1.6832579776026724,4.866714829154103
ETHUSDT,1w,21,hi_bull,44,2,0.03798660580057285,1.6832579776026724,4.866714829154103
ETHUSDT,1w,21,hi_bear,0,0,,,
ETHUSDT,1w,25,lo,43,3,0.02613763917820329,2.1550886679013104,19.03072820890716
ETHUSDT,1w,25,hi,43,2,0.03440541122019512,1.5401718739310168,5.593255102668873
ETHUSDT,1w,25,hi_bull,43,2,0.03440541122019512,1.5401718739310168,5.593255102668873
ETHUSDT,1w,25,hi_bear,0,0,,,
ETHUSDT,1w,30,lo,42,4,0.02845401705972204,1.428720594007733,1.2761755275433708
ETHUSDT,1w,30,hi,42,1,0.03102979852692406,1.3974572828214769,4083007402779787.0
ETHUSDT,1w,30,hi_bull,42,1,0.03102979852692406,1.3974572828214769,4083007402779787.0
ETHUSDT,1w,30,hi_bear,0,0,,,
ETHUSDT,1d,2,lo,332,219,0.0025662191345435315,1.1721239664625434,1.1420846049237252
ETHUSDT,1d,2,hi,332,112,0.005526198110295701,1.8868976083332774,2.3926838802029353
ETHUSDT,1d,2,hi_bull,182,58,0.005383468556367868,1.5780837135953885,2.0571561027582113
ETHUSDT,1d,2,hi_bear,150,55,0.005699376635728138,1.1394022396500516,1.4222606289774138
ETHUSDT,1d,3,lo,332,153,0.004449699702083105,1.981186791602911,1.9181365431733173
ETHUSDT,1d,3,hi,332,96,0.007907522242809596,2.7712852805445625,3.1819364416951728
ETHUSDT,1d,3,hi_bull,180,49,0.00967054557584763,2.7421239173161833,3.5407895741210225
ETHUSDT,1d,3,hi_bear,152,48,0.005819731453685608,1.2560155760541705,1.4584788545787826
ETHUSDT,1d,4,lo,332,131,0.003415168102832149,1.4590251310237656,1.4137074546450128
ETHUSDT,1d,4,hi,332,70,0.0069195725669341825,2.437002905703814,2.7936058882472032
ETHUSDT,1d,4,hi_bull,188,35,0.009444456288851938,2.826208346952595,3.3374847876272673
ETHUSDT,1d,4,hi_bear,144,37,0.003623196596652669,0.7422977638130758,0.9789832030589147
ETHUSDT,1d,5,lo,332,98,0.0008861561706233512,0.3774375319319522,0.35283133299946473
ETHUSDT,1d,5,hi,332,56,0.005548695409771442,1.891457313115484,2.0322753597929744
ETHUSDT,1d,5,hi_bull,192,30,0.008066045312747882,2.2876282276710667,3.15925566429199
ETHUSDT,1d,5,hi_bear,140,26,0.0020963298285466116,0.4190930915935549,0.4493963065203754
ETHUSDT,1d,6,lo,332,84,0.0006071115068558105,0.2622092310568683,0.2435008774325685
ETHUSDT,1d,6,hi,332,45,0.0037466232814566103,1.2881898098109978,1.2877613723703298
ETHUSDT,1d,6,hi_bull,181,24,0.0073668062115116,2.049286544982048,2.8040142700309825
ETHUSDT,1d,6,hi_bear,151,21,-0.0005928012903311595,-0.12575102921725698,-0.1318008873461001
ETHUSDT,1d,7,lo,331,73,0.00022355402392667175,0.09911698716373622,0.08967336530257286
ETHUSDT,1d,7,hi,331,41,0.0028839181038423237,1.0271164114870235,1.066386365302563
ETHUSDT,1d,7,hi_bull,179,24,0.006008312673293276,1.684277656981428,2.252442990839482
ETHUSDT,1d,7,hi_bear,152,18,-0.000795467606234786,-0.17927921706136626,-0.19891290911079706
ETHUSDT,1d,8,lo,331,64,-0.0004468182024225068,-0.21234504022235792,-0.19924224600184143
ETHUSDT,1d,8,hi,331,32,0.0005635642592295059,0.2151269710762077,0.23936184192487944
ETHUSDT,1d,8,hi_bull,172,18,0.0041245448457309436,1.1942691827152596,1.453066761021984
ETHUSDT,1d,8,hi_bear,159,15,-0.0032885656834009806,-0.8301165334277202,-1.2770563131561332
