symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,4h,10,bull,adx_gt_med,177,0.00017574305188633048,0.17455091011941792
BTCUSDT,4h,10,bear,all,882,3.5847259643709565e-05,0.07671295921517614
BTCUSDT,4h,10,bear,fixed20,524,-9.364403401458845e-05,-0.1416745727797453
BTCUSDT,4h,10,bear,adx_gt_med,175,-0.001166621740789127,-1.0316490328296917
BTCUSDT,4h,12,bull,all,788,-0.00034256611318802453,-0.8153003088654289
BTCUSDT,4h,12,bull,fixed20,405,-0.0005090036071631372,-0.8766089811523493
BTCUSDT,4h,12,bull,adx_gt_med,152,0.00036286185564042415,0.359145453147952
BTCUSDT,4h,12,bear,all,787,0.00016501412766679874,0.30085789138863295
BTCUSDT,4h,12,bear,fixed20,400,-0.00045948791968100254,-0.5904772271168625
BTCUSDT,4h,12,bear,adx_gt_med,154,-0.00040350860883742754,-0.3162157780172314
BTCUSDT,4h,14,bull,all,713,0.00039859683876570314,0.8853814453975487
BTCUSDT,4h,14,bull,fixed20,338,0.00041054417278249067,0.5780938445625098
BTCUSDT,4h,14,bull,adx_gt_med,143,0.0012290933673496434,0.9574724641690464
BTCUSDT,4h,14,bear,all,712,0.0003531920307670693,0.6314593897517132
BTCUSDT,4h,14,bear,fixed20,326,0.0002117615748187255,0.262878552445525
BTCUSDT,4h,14,bear,adx_gt_med,160,0.0006413040846060508,0.5010231883749116
BTCUSDT,4h,16,bull,all,649,0.0005713983358418237,1.1788112716369528
BTCUSDT,4h,16,bull,fixed20,283,0.0010552254672313612,1.3803993364140468
BTCUSDT,4h,16,bull,adx_gt_med,136,0.0019457940701222503,1.5167777431520557
BTCUSDT,4h,16,bear,all,648,0.00032526484099736297,0.5881534360042004
BTCUSDT,4h,16,bear,fixed20,265,0.0005175126872848827,0.5776439655404465
BTCUSDT,4h,16,bear,adx_gt_med,145,0.0012325832461362637,0.9162842831848491
BTCUSDT,4h,18,bull,all,611,0.00010089608469530095,0.19557117109870045
